time in ms, Electicity usage in Watt, Not Installed[2], Not Installed[3], ATX12V, 12V, 3.3V, 5Vsb, 5V
0,0,0,0,1.1774193548387095,0.5806451612903226,0.09166666666666667,0.048387096774193554,0.6129032258064516
10,0,0,0,1.1774193548387095,0.5774193548387097,0.11538461538461539,0.041935483870967745,0.6048387096774194
20,0,0,0,1.1693548387096775,0.5806451612903226,0.1076923076923077,0.048387096774193554,0.5887096774193548
30,0,0,0,1.1693548387096775,0.5774193548387097,0.1076923076923077,0.04516129032258065,0.596774193548387
40,0,0,0,1.1612903225806452,0.5774193548387097,0.09166666666666667,0.048387096774193554,0.653225806451613
50,0,0,0,1.1612903225806452,0.5774193548387097,0.1076923076923077,0.048387096774193554,0.596774193548387
60,0,0,0,1.153225806451613,0.5838709677419355,0.1076923076923077,0.05161290322580645,0.6048387096774194
70,0,0,0,1.217741935483871,0.564516129032258,0.11538461538461539,0.054838709677419356,0.6290322580645161
80,0,0,0,1.1774193548387095,0.5774193548387097,0.1,0.04516129032258065,0.5725806451612904
90,0,0,0,1.338709677419355,0.5709677419354838,0.1,0.054838709677419356,0.6129032258064516
100,0,0,0,1.4758064516129032,0.5806451612903226,0.1,0.05161290322580645,0.564516129032258
110,0,0,0,1.467741935483871,0.5774193548387097,0.09166666666666667,0.048387096774193554,0.6048387096774194
120,0,0,0,1.443548387096774,0.5774193548387097,0.1076923076923077,0.05161290322580645,0.5080645161290323
130,0,0,0,1.4596774193548385,0.5806451612903226,0.11538461538461539,0.04516129032258065,0.564516129032258
140,0,0,0,1.467741935483871,0.5806451612903226,0.13076923076923078,0.048387096774193554,0.6612903225806452
150,0,0,0,1.4596774193548385,0.5903225806451613,0.11538461538461539,0.048387096774193554,0.717741935483871
160,0,0,0,1.4758064516129032,0.5838709677419355,0.1076923076923077,0.048387096774193554,0.564516129032258
170,0,0,0,1.4274193548387095,0.5870967741935484,0.09166666666666667,0.048387096774193554,0.5483870967741935
180,0,0,0,1.185483870967742,0.5903225806451613,0.37027027027027026,0.05161290322580645,0.5080645161290323
190,0,0,0,1.1774193548387095,0.5870967741935484,0.3783783783783784,0.04516129032258065,0.5564516129032258
200,0,0,0,1.1370967741935485,0.5903225806451613,0.4189189189189189,0.048387096774193554,0.6129032258064516
210,0,0,0,1.153225806451613,0.5870967741935484,0.3216216216216216,0.04516129032258065,0.5161290322580645
220,0,0,0,1.1774193548387095,0.5838709677419355,0.3054054054054054,0.04516129032258065,0.5564516129032258
230,0,0,0,1.564516129032258,0.5774193548387097,0.3054054054054054,0.041935483870967745,0.5161290322580645
240,0,0,0,1.1612903225806452,0.5709677419354838,0.32972972972972975,0.048387096774193554,0.5806451612903226
250,0,0,0,1.1370967741935485,0.567741935483871,0.2972972972972973,0.041935483870967745,0.4756756756756757
260,0,0,0,1.1612903225806452,0.5774193548387097,0.32972972972972975,0.04516129032258065,0.5161290322580645
270,0,0,0,1.129032258064516,0.5806451612903226,0.34594594594594597,0.04516129032258065,0.43513513513513513
280,0,0,0,1.1774193548387095,0.5838709677419355,0.3621621621621622,0.04516129032258065,0.5403225806451613
290,0,0,0,1.1774193548387095,0.5,0.33783783783783783,0.04516129032258065,0.5241935483870968
300,0,0,0,1.1612903225806452,0.5,0.32972972972972975,0.04516129032258065,0.564516129032258
310,0,0,0,1.185483870967742,0.5,0.31351351351351353,0.04516129032258065,0.5080645161290323
